Número de rastreamento;ID do pedido;Observação do comprador;Nota
QJ039882828BR;220402HKUV5X01;;
;;;;ID;Nome do produto;Variação;SKU;SKU Principal;Quantidade;Preço
;;;;1;Conj  Body Bebê Infantil Longo com Calça Canelado;Branco,RN (Recém Nascido);206;206;1;R$ 18.99
;;;;2;Conj  Body Bebê Infantil Longo com Calça Canelado;Verde,RN (Recém Nascido);206;206;1;R$ 18.99
;;;;3;Conj  Body Bebê Infantil Longo com Calça Canelado;Azul,RN (Recém Nascido);206;206;1;R$ 18.99

Número de rastreamento;ID do pedido;Observação do comprador;Nota
QJ039856862BR;220402HMRPBST2;;
;;;;ID;Nome do produto;Variação;SKU;SKU Principal;Quantidade;Preço
;;;;1;Macacão Soft Bebê Longo Urso com Orelhinha e Pézinho;BRANCO,RN (Recém Nascido);516;516;2;R$ 49.99
;;;;2;Conj Body com Calça Pijama Canelado Liso Longo;Rosa,P (0 a 3 meses);206;206;2;R$ 18.99
;;;;3;Conj Body com Calça Pijama Canelado Liso Longo;Verde,P (0 a 3 meses);206;206;2;R$ 18.99

Número de rastreamento;ID do pedido;Observação do comprador;Nota
QJ039882859BR;220402HQB9029P;;
;;;;ID;Nome do produto;Variação;SKU;SKU Principal;Quantidade;Preço
;;;;1;Macacão Soft Bebê Longo Urso com Orelhinha e Pézinho;BRANCO,P (0 a 3 meses);516;516;1;R$ 49.99

Número de rastreamento;ID do pedido;Observação do comprador;Nota
QJ039862298BR;220402HSPF3R8N;;
;;;;ID;Nome do produto;Variação;SKU;SKU Principal;Quantidade;Preço
;;;;1;Macacão Bebê Soft Pintinho Amarelinho com Capuz e Pézinho;Branco,P (0 a 3 meses);515;515;1;R$ 49.99

Número de rastreamento;ID do pedido;Observação do comprador;Nota
QJ039862315BR;220403HY0GHFT1;;
;;;;ID;Nome do produto;Variação;SKU;SKU Principal;Quantidade;Preço
;;;;1;Conjunto Blusa com Calça Pijama Canelado Liso Longo;Branco,RN (Recém Nascido);101;101;1;R$ 17.99

Número de rastreamento;ID do pedido;Observação do comprador;Nota
QJ039886025BR;220403J05C4TF1;;
;;;;ID;Nome do produto;Variação;SKU;SKU Principal;Quantidade;Preço
;;;;1;Macacão Soft Bebê Longo Urso com Orelhinha e Pézinho;ROSA,P (0 a 3 meses);516;516;1;R$ 49.99

Número de rastreamento;ID do pedido;Observação do comprador;Nota
QJ039872202BR;220403J0V3UAKG;;
;;;;ID;Nome do produto;Variação;SKU;SKU Principal;Quantidade;Preço
;;;;1;Macacão Soft Bebê Longo Urso com Orelhinha e Pézinho;BRANCO,GG (9 a 12 meses);516;516;1;R$ 49.99

Número de rastreamento;ID do pedido;Observação do comprador;Nota
QJ039856893BR;220403J3A5TT5Q;;
;;;;ID;Nome do produto;Variação;SKU;SKU Principal;Quantidade;Preço
;;;;1;Conj Body com Calça Pijama Canelado Liso Longo;Branco,P (0 a 3 meses);206;206;2;R$ 18.99

Número de rastreamento;ID do pedido;Observação do comprador;Nota
QJ039868239BR;220403J3PYHY2P;;
;;;;ID;Nome do produto;Variação;SKU;SKU Principal;Quantidade;Preço
;;;;1;Conj  Body Bebê Infantil Longo com Calça Canelado;Verde,RN (Recém Nascido);206;206;1;R$ 18.99
;;;;2;Conj Body com Calça Pijama Canelado Liso Longo;Rosa,RN (Recém Nascido);206;206;1;R$ 18.99
;;;;3;Conj Body com Calça Pijama Canelado Liso Longo;Amarelo,RN (Recém Nascido);206;206;1;R$ 18.99

Número de rastreamento;ID do pedido;Observação do comprador;Nota
QJ039877615BR;220403J8WC8SG3;;
;;;;ID;Nome do produto;Variação;SKU;SKU Principal;Quantidade;Preço
;;;;1;Macacão Soft Bebê Longo Urso com Orelhinha e Pézinho;ROSA,G (6 a 9 meses);516;516;1;R$ 49.99
;;;;2;Body Canelado Liso Longo;ROSA,M;109;109;1;R$ 10.99

Número de rastreamento;ID do pedido;Observação do comprador;Nota
QJ039852812BR;220403JBYFQFNP;;
;;;;ID;Nome do produto;Variação;SKU;SKU Principal;Quantidade;Preço
;;;;1;Roupa Bebê Infantil Body Estampado Curto de Ribana Mescla Black Friday;Esse é Meu Garoto,M (3 a 6 meses);274;274;2;R$ 15.99

Número de rastreamento;ID do pedido;Observação do comprador;Nota
QJ039890311BR;220403JC6WUAVB;;
;;;;ID;Nome do produto;Variação;SKU;SKU Principal;Quantidade;Preço
;;;;1;Calça Bebê Infantil Canelado;Azul,3 Anos;6;;2;R$ 10.99
;;;;2;Conj Body Infantil e Calça Tamanho 1/2/3 Anos;Verde,3 Anos;186;186;2;R$ 28.99

Número de rastreamento;ID do pedido;Observação do comprador;Nota
QJ039862222BR;220403JF5MXV7E;;
;;;;ID;Nome do produto;Variação;SKU;SKU Principal;Quantidade;Preço
;;;;1;Conj  Body Bebê Infantil Longo com Calça Canelado;Branco,P (0 a 3 meses);206;206;1;R$ 18.99
